n.address,n.mf
"""0x5a156f0777a4ace2b606657256d8e50c7b78a26d""",0.4732910433230105
"""0x787767501de950f95ceea7f3c55098993f41e2df""",0.45237397935604073
"""0xd169da5cda495fd5a2503b0c4c6c2712ab9c5140""",0.44883539000000006
"""0x2eacfb27ca4c871ea4ddd261807dfdc1e50be44f""",0.43390850000000003
"""0x9c85b95ccd7ce0505aa001adb5c483f2f266f0da""",0.43236
"""0xa7bfceeff6b471fafc8874780d1818d44ca27e0f""",0.4262
"""0x27a8ac81aa6a7950be5e397e3072a45fa8548252""",0.4262
"""0x0c99aed05c82475b7aa1ccd2a453b054bd4072c8""",0.42038000000000003
"""0xc15a53d57f431aa429d82c76ea8ed1ac2df58b9d""",0.42038000000000003
"""0x6181c8a2729e96f55ab79fdb4f9fb496c1a6a6fc""",0.40257632000000004
"""0x248fdaf2d80e173294d3fc2aa3c9d6af5a324906""",0.40257632000000004
"""0x9ec8bfc7a39fa11fa59b82f422e3765aceda8ed9""",0.40257632000000004
"""0x16edbc86a734472f2d1b59abc1f14c366550d850""",0.40257632000000004
"""0x95cabf1859b407b7dbbd9e86329dc28ccc8ac2c2""",0.40257632000000004
"""0xb399287ad3486e0fa38a424a4a4d222e516e0451""",0.40257632000000004
"""0x53ee8bb964f7ae60c603306863b5684c489fc8cd""",0.40257632000000004
"""0xb26bad965e1c3bb8e4d66736afdf3eca094e29fc""",0.40257632000000004
"""0x3b9d7e8c2117851a42634a44c07238dfc08b7dad""",0.38804516
"""0xfd4416617c72fc6b2f0dfe0859eebca3a75bdf32""",0.36233547000000005
"""0xb64073466455b85e4d3a0e67a895bb7204741893""",0.35800000000000004
"""0xd45f2c2466beab21e217e9dfaaf1ede0efa6b243""",0.35094600000000004
"""0xcb882541dc16f58e7db87df900b4171895e4df15""",0.35000000000000003
"""0x80191db8a316bbba2a8dc381ba1f337e77da5311""",0.33666419000000003
"""0x67fbd30c128bd50139256eff54a9882bfa34f218""",0.32
"""0x543abafd3c571ddbeda8dcd4c6b5ec204add378e""",0.30288845000000003
"""0xa7553de899cda785a55d8eb2ead1ab08cb4115fd""",0.30000000000000004
"""0x2ade126890ca62b4f4dbce6535e9a0ef45a9d85d""",0.29000000000000004
"""0x049af154352d1d396eb5d6ebb74777981acad0ce""",0.28152540000000004
"""0xfb7af329664c5dc212ba7a7b7057f83f61ecd22d""",0.27144633367055016
"""0x2f41a9b5644d9e644f858d2d866324d6a4b63d61""",0.25
"""0x41c8c42d6b5ed0fda05184712cfc85265ef70e92""",0.25
"""0xd96f2b1c14db8458374d9aca76e26c3d18364307""",0.02
